Date,Open,High,Low,Close
2020/1/2,57.20000076293945,57.20000076293945,57.20000076293945,57.20000076293945
2020/1/3,60.119998931884766,60.119998931884766,60.119998931884766,60.119998931884766
2020/1/6,62.790000915527344,62.790000915527344,62.790000915527344,62.790000915527344
2020/1/7,62.630001068115234,62.630001068115234,62.630001068115234,62.630001068115234
2020/1/8,60.49000168,60.49000168,60.49000168,60.49000168
2020/1/9,57.65999984741211,57.65999984741211,57.65999984741211,57.65999984741211
2020/1/10,53.31999969482422,53.31999969482422,53.31999969482422,53.31999969482422
2020/1/13,53.27000045776367,53.27000045776367,53.27000045776367,53.27000045776367
2020/1/14,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094
2020/1/15,50.540000915527344,50.540000915527344,50.540000915527344,50.540000915527344
2020/1/16,50.369998931884766,50.369998931884766,50.369998931884766,50.369998931884766
2020/1/17,49.66999816894531,49.66999816894531,49.66999816894531,49.66999816894531
2020/1/21,53.41999816894531,53.41999816894531,53.41999816894531,53.41999816894531
2020/1/22,51.310001373291016,51.310001373291016,51.310001373291016,51.310001373291016
2020/1/23,55.34000015258789,55.34000015258789,55.34000015258789,55.34000015258789
2020/1/24,59.939998626708984,59.939998626708984,59.939998626708984,59.939998626708984
2020/1/27,66.73000336,66.73000336,66.73000336,66.73000336
2020/1/28,65.59999847,65.59999847,65.59999847,65.59999847
2020/1/29,66.16999816894531,66.16999816894531,66.16999816894531,66.16999816894531
2020/1/30,71.06999969482422,71.06999969482422,71.06999969482422,71.06999969482422
2020/1/31,72.98000336,72.98000336,72.98000336,72.98000336
2020/2/3,72.80999755859375,72.80999755859375,72.80999755859375,72.80999755859375
2020/2/4,68.16999816894531,68.16999816894531,68.16999816894531,68.16999816894531
2020/2/5,64.06999969482422,64.06999969482422,64.06999969482422,64.06999969482422
2020/2/6,61.24000168,61.24000168,61.24000168,61.24000168
2020/2/7,65.58999633789062,65.58999633789062,65.58999633789062,65.58999633789062
2020/2/10,68.12999725341797,68.12999725341797,68.12999725341797,68.12999725341797
2020/2/11,64.88999938964844,64.88999938964844,64.88999938964844,64.88999938964844
2020/2/12,63.52000045776367,63.52000045776367,63.52000045776367,63.52000045776367
2020/2/13,63.50999832,63.50999832,63.50999832,63.50999832
2020/2/14,62.380001068115234,62.380001068115234,62.380001068115234,62.380001068115234
2020/2/18,67.66000366210938,67.66000366210938,67.66000366210938,67.66000366210938
2020/2/19,68.04000091552734,68.04000091552734,68.04000091552734,68.04000091552734
2020/2/20,69.59999847,69.59999847,69.59999847,69.59999847
2020/2/21,74.54000091552734,74.54000091552734,74.54000091552734,74.54000091552734
2020/2/24,86.91999816894531,86.91999816894531,86.91999816894531,86.91999816894531
2020/2/25,87.37999725341797,87.37999725341797,87.37999725341797,87.37999725341797
2020/2/26,87,87,87,87
2020/2/27,92.58999633789062,92.58999633789062,92.58999633789062,92.58999633789062
2020/2/28,109.66999816894531,109.66999816894531,109.66999816894531,109.66999816894531
2020/3/2,104.88999938964844,104.88999938964844,104.88999938964844,104.88999938964844
2020/3/3,102.97000122070312,102.97000122070312,102.97000122070312,102.97000122070312
2020/3/4,89.58999633789062,89.58999633789062,89.58999633789062,89.58999633789062
2020/3/5,96.95999908447266,96.95999908447266,96.95999908447266,96.95999908447266
2020/3/6,125.20999908447266,125.20999908447266,125.20999908447266,125.20999908447266
2020/3/9,163.6999969482422,163.6999969482422,163.6999969482422,163.6999969482422
2020/3/10,123.72000122070312,123.72000122070312,123.72000122070312,123.72000122070312
2020/3/11,127.83999633789062,127.83999633789062,127.83999633789062,127.83999633789062
2020/3/12,152.6199951171875,152.6199951171875,152.6199951171875,152.6199951171875
2020/3/13,138.39999389648438,138.39999389648438,138.39999389648438,138.39999389648438
2020/3/16,124.52999877929688,124.52999877929688,124.52999877929688,124.52999877929688
2020/3/17,109.8499984741211,109.8499984741211,109.8499984741211,109.8499984741211
2020/3/18,124.13999938964844,124.13999938964844,124.13999938964844,124.13999938964844
2020/3/19,141.1300048828125,141.1300048828125,141.1300048828125,141.1300048828125
2020/3/20,133.3699951171875,133.3699951171875,133.3699951171875,133.3699951171875
2020/3/23,135.3800048828125,135.3800048828125,135.3800048828125,135.3800048828125
2020/3/24,111.08999633789062,111.08999633789062,111.08999633789062,111.08999633789062
2020/3/25,87.13999938964844,87.13999938964844,87.13999938964844,87.13999938964844
2020/3/26,88.48000336,88.48000336,88.48000336,88.48000336
2020/3/27,88.33000183105469,88.33000183105469,88.33000183105469,88.33000183105469
2020/3/30,90.69999694824219,90.69999694824219,90.69999694824219,90.69999694824219
2020/3/31,83.87000274658203,83.87000274658203,83.87000274658203,83.87000274658203
2020/4/1,83.12999725341797,83.12999725341797,83.12999725341797,83.12999725341797
2020/4/2,71.98999786376953,71.98999786376953,71.98999786376953,71.98999786376953
2020/4/3,65.01000213623047,65.01000213623047,65.01000213623047,65.01000213623047
2020/4/6,66.27999877929688,66.27999877929688,66.27999877929688,66.27999877929688
2020/4/7,72.20999908447266,72.20999908447266,72.20999908447266,72.20999908447266
2020/4/8,75.70999908447266,75.70999908447266,75.70999908447266,75.70999908447266
2020/4/9,74.38999938964844,74.38999938964844,74.38999938964844,74.38999938964844
2020/4/13,75.84999847,75.84999847,75.84999847,75.84999847
2020/4/14,69.51999664,69.51999664,69.51999664,69.51999664
2020/4/15,70.5,70.5,70.5,70.5
2020/4/16,69.93000030517578,69.93000030517578,69.93000030517578,69.93000030517578
2020/4/17,69.83999633789062,69.83999633789062,69.83999633789062,69.83999633789062
2020/4/20,70.59999847,70.59999847,70.59999847,70.59999847
2020/4/21,73.83000183105469,73.83000183105469,73.83000183105469,73.83000183105469
2020/4/22,72.29000091552734,72.29000091552734,72.29000091552734,72.29000091552734
2020/4/23,67.25,67.25,67.25,67.25
2020/4/24,66.08999633789062,66.08999633789062,66.08999633789062,66.08999633789062
2020/4/27,62.70000076293945,62.70000076293945,62.70000076293945,62.70000076293945
2020/4/28,58.88999938964844,58.88999938964844,58.88999938964844,58.88999938964844
2020/4/29,57.150001525878906,57.150001525878906,57.150001525878906,57.150001525878906
2020/4/30,53.59000015258789,53.59000015258789,53.59000015258789,53.59000015258789
2020/5/1,48.11000061035156,48.11000061035156,48.11000061035156,48.11000061035156
2020/5/4,49.25,49.25,49.25,49.25
2020/5/5,49.650001525878906,49.650001525878906,49.650001525878906,49.650001525878906
2020/5/6,51.310001373291016,51.310001373291016,51.310001373291016,51.310001373291016
2020/5/7,54.93000030517578,54.93000030517578,54.93000030517578,54.93000030517578
2020/5/8,57.400001525878906,57.400001525878906,57.400001525878906,57.400001525878906
2020/5/11,61.599998474121094,61.599998474121094,61.599998474121094,61.599998474121094
2020/5/12,61.25999832,61.25999832,61.25999832,61.25999832
2020/5/13,57.560001373291016,57.560001373291016,57.560001373291016,57.560001373291016
2020/5/14,59.04999923706055,59.04999923706055,59.04999923706055,59.04999923706055
2020/5/15,56.529998779296875,56.529998779296875,56.529998779296875,56.529998779296875
2020/5/18,58.70000076293945,58.70000076293945,58.70000076293945,58.70000076293945
2020/5/19,60.09000015258789,60.09000015258789,60.09000015258789,60.09000015258789
2020/5/20,58.849998474121094,58.849998474121094,58.849998474121094,58.849998474121094
2020/5/21,55.619998931884766,55.619998931884766,55.619998931884766,55.619998931884766
2020/5/22,51.66999816894531,51.66999816894531,51.66999816894531,51.66999816894531
2020/5/26,52.220001220703125,52.220001220703125,52.220001220703125,52.220001220703125
2020/5/27,52.97999954223633,52.97999954223633,52.97999954223633,52.97999954223633
2020/5/28,50.56999969482422,50.56999969482422,50.56999969482422,50.56999969482422
2020/5/29,51.54999923706055,51.54999923706055,51.54999923706055,51.54999923706055
2020/6/1,55.06999969482422,55.06999969482422,55.06999969482422,55.06999969482422
2020/6/2,55.349998474121094,55.349998474121094,55.349998474121094,55.349998474121094
2020/6/3,61.24000168,61.24000168,61.24000168,61.24000168
2020/6/4,61.18000030517578,61.18000030517578,61.18000030517578,61.18000030517578
2020/6/5,61.970001220703125,61.970001220703125,61.970001220703125,61.970001220703125
2020/6/8,62.77000045776367,62.77000045776367,62.77000045776367,62.77000045776367
2020/6/9,62.939998626708984,62.939998626708984,62.939998626708984,62.939998626708984
2020/6/10,60.02000045776367,60.02000045776367,60.02000045776367,60.02000045776367
2020/6/11,56.470001220703125,56.470001220703125,56.470001220703125,56.470001220703125
2020/6/12,55.810001373291016,55.810001373291016,55.810001373291016,55.810001373291016
2020/6/15,58.09000015258789,58.09000015258789,58.09000015258789,58.09000015258789
2020/6/16,60.49000168,60.49000168,60.49000168,60.49000168
2020/6/17,58.15999984741211,58.15999984741211,58.15999984741211,58.15999984741211
2020/6/18,55.150001525878906,55.150001525878906,55.150001525878906,55.150001525878906
2020/6/19,53.45000076293945,53.45000076293945,53.45000076293945,53.45000076293945
2020/6/22,53.93000030517578,53.93000030517578,53.93000030517578,53.93000030517578
2020/6/23,54.040000915527344,54.040000915527344,54.040000915527344,54.040000915527344
2020/6/24,54.88999938964844,54.88999938964844,54.88999938964844,54.88999938964844
2020/6/25,51.56999969482422,51.56999969482422,51.56999969482422,51.56999969482422
2020/6/26,51.209999084472656,51.209999084472656,51.209999084472656,51.209999084472656
2020/6/29,51.209999084472656,52.959999084472656,51.209999084472656,52.959999084472656
2020/6/30,52.959999084472656,54.130001068115234,52.959999084472656,54.130001068115234
2020/7/1,54.130001068115234,54.130001068115234,53.279998779296875,53.279998779296875
2020/7/2,53.279998779296875,53.279998779296875,50.959999084472656,50.959999084472656
2020/7/6,50.959999084472656,52.029998779296875,50.959999084472656,52.029998779296875
2020/7/7,52.029998779296875,52.029998779296875,50.97999954223633,50.97999954223633
2020/7/8,50.97999954223633,50.97999954223633,49.79999923706055,49.79999923706055
2020/7/9,49.79999923706055,50.06999969482422,49.79999923706055,50.06999969482422
2020/7/10,50.06999969482422,50.06999969482422,49.189998626708984,49.189998626708984
2020/7/13,49.189998626708984,49.54999923706055,49.189998626708984,49.54999923706055
2020/7/14,49.54999923706055,50.810001373291016,49.54999923706055,50.810001373291016
2020/7/15,50.810001373291016,50.810001373291016,47.08000183105469,47.08000183105469
2020/7/16,47.08000183105469,47.08000183105469,46.43000030517578,46.43000030517578
2020/7/17,45.68000030517578,45.68000030517578,45.68000030517578,45.68000030517578
2020/7/20,45.68000030517578,46.81999969482422,45.68000030517578,46.81999969482422
2020/7/21,46.81999969482422,46.81999969482422,46.45000076293945,46.45000076293945
2020/7/22,46.45000076293945,46.45000076293945,45.31999969482422,45.31999969482422
2020/7/23,45.31999969482422,45.31999969482422,43.93000030517578,43.93000030517578
2020/7/24,43.93000030517578,43.93000030517578,42.47999954223633,42.47999954223633
2020/7/27,42.61000061035156,42.61000061035156,42.61000061035156,42.61000061035156
2020/7/28,41.27000045776367,41.27000045776367,41.27000045776367,41.27000045776367
2020/7/29,41.630001068115234,41.630001068115234,41.630001068115234,41.630001068115234
2020/7/30,41.630001068115234,41.630001068115234,40.65999984741211,40.65999984741211
2020/7/31,41.97999954223633,41.97999954223633,41.97999954223633,41.97999954223633
2020/8/3,43.130001068115234,43.130001068115234,43.130001068115234,43.130001068115234
2020/8/4,44.11000061035156,44.11000061035156,44.11000061035156,44.11000061035156
